0Sale_ID,age,price,pas,wtop,fixgear,tdrag,horse,fuel,ceiling,cruise
237,22,38000,4,0,1,0,5.017279836814924,3.970291913552122,9.392745258631441,4.795790545596741
238,21,41500,4,0,1,0,5.017279836814924,3.970291913552122,9.392745258631441,4.795790545596741
239,20,45500,4,0,1,0,5.017279836814924,3.970291913552122,9.392745258631441,4.795790545596741
240,19,51000,4,0,1,0,5.017279836814924,3.970291913552122,9.392745258631441,4.795790545596741
241,18,60000,4,0,1,0,5.081404364984463,4.007333185232471,9.392745258631441,4.795790545596741
242,17,71000,4,0,1,0,5.081404364984463,4.23410650459726,9.392745258631441,4.795790545596741
243,24,38500,4,0,1,0,5.442417710521793,4.02535169073515,9.15915233520675,4.795790545596741
244,23,41000,4,0,1,0,5.111987788356544,4.060443010546419,9.179984251961283,4.787491742782046
245,22,43500,4,0,1,0,5.111987788356544,4.060443010546419,9.179984251961283,4.787491742782046
246,21,48500,4,0,1,0,5.198497031265826,4.060443010546419,9.179984251961283,4.787491742782046
247,31,54000,4,0,1,0,5.198497031265826,4.060443010546419,9.179984251961283,4.787491742782046
248,30,68500,4,0,1,0,5.198497031265826,4.060443010546419,9.179984251961283,4.787491742782046
249,26,75000,4,0,1,0,5.198497031265826,4.060443010546419,9.179984251961283,4.787491742782046
250,24,85500,4,0,1,0,5.198497031265826,4.060443010546419,9.179984251961283,4.787491742782046
251,22,90500,4,0,1,0,5.198497031265826,4.060443010546419,9.179984251961283,4.787491742782046
252,21,97000,4,0,1,0,5.198497031265826,3.912023005428146,9.392745258631441,4.787491742782046
253,20,107000,4,0,1,0,5.198497031265826,3.912023005428146,9.392745258631441,4.787491742782046
254,19,124500,4,0,1,0,5.198497031265826,3.912023005428146,9.392745258631441,4.787491742782046
255,18,135000,4,0,1,0,5.198497031265826,3.912023005428146,9.392745258631441,4.77912349311153
256,17,145000,4,0,1,0,5.442417710521793,4.02535169073515,9.15915233520675,4.770684624465665
257,21,68500,4,0,1,0,5.017279836814924,3.9318256327243257,9.15915233520675,4.7535901911063645
